age,total_purchase,account_manager,years,num_sites,churn,state,purchase_per_year,sites_per_year,purchase_per_site
35.0,15571.26,0,6.45,9.0,0,NY,2414.148837209302,1.3953488372093024,1730.14
39.0,10268.87,1,3.68,6.0,0,LA,2790.453804347826,1.6304347826086956,1711.4783333333335
44.0,12328.03,1,4.6,9.0,0,OH,2680.0065217391307,1.956521739130435,1369.7811111111112
52.0,9782.83,0,3.96,7.0,0,ID,2470.411616161616,1.7676767676767677,1397.547142857143
29.0,9378.24,0,4.93,8.0,0,IN,1902.2799188640975,1.622718052738337,1172.28
37.0,10314.67,1,5.86,8.0,0,AZ,1760.182593856655,1.36518771331058,1289.33375
30.0,8403.78,1,4.13,7.0,0,ID,2034.813559322034,1.6949152542372883,1200.5400000000002
46.0,5570.45,0,2.23,7.0,0,NV,2497.959641255605,3.1390134529147984,795.7785714285714
43.0,8042.76,0,4.95,8.0,0,IA,1624.8,1.6161616161616161,1005.345
44.0,10309.15,1,6.35,9.0,0,MP,1623.488188976378,1.4173228346456694,1145.461111111111
35.0,12357.31,0,5.03,10.0,0,NM,2456.7216699801193,1.9880715705765406,1235.731
47.0,11306.1,0,6.01,7.0,0,KS,1881.2146422628953,1.1647254575707155,1615.1571428571428
32.0,13630.93,0,4.38,10.0,0,DE,3112.084474885845,2.2831050228310503,1363.093
36.0,12284.58,1,5.7,9.0,0,AS,2155.1894736842105,1.5789473684210527,1364.9533333333334
39.0,8930.49,1,5.71,10.0,0,MI,1564.0087565674255,1.7513134851138354,893.049
43.0,10578.14,0,1.87,10.0,0,AA,5656.759358288769,5.347593582887701,1057.8139999999999
45.0,10364.82,0,5.93,5.0,0,ME,1747.8617200674537,0.8431703204047218,2072.964
33.0,7750.54,1,4.57,8.0,0,AP,1695.960612691466,1.75054704595186,968.8175
48.0,10963.5,1,5.89,9.0,0,LA,1861.3752122241087,1.5280135823429541,1218.1666666666667
32.0,12547.91,0,7.78,10.0,0,TX,1612.8419023136246,1.2853470437017995,1254.791
41.0,14069.41,1,1.62,10.0,0,AE,8684.82098765432,6.172839506172839,1406.941
44.0,9723.71,0,4.34,9.0,0,NY,2240.486175115207,2.0737327188940093,1080.4122222222222
43.0,6298.75,1,4.51,9.0,0,AK,1396.618625277162,1.9955654101995566,699.8611111111111
35.0,12107.03,0,5.82,9.0,0,AA,2080.245704467354,1.5463917525773194,1345.2255555555557
43.0,11674.12,0,2.88,8.0,0,VI,4053.513888888889,2.7777777777777777,1459.265
56.0,12502.81,0,5.47,8.0,0,ID,2285.7056672760514,1.4625228519195612,1562.85125
29.0,9617.59,0,5.49,8.0,0,AZ,1751.8378870673953,1.4571948998178506,1202.19875
